id,trial_num,acc,rt,target_loc,dist_loc,hp_loc
27,1,1,6.865972519,6,0,1
27,2,1,17.1721077,4,0,1
27,3,0,4.751543999,4,1,1
27,4,1,6.384931087,5,0,1
27,5,1,4.123518229,6,1,1
27,6,1,2.631400347,4,0,1
27,7,1,3.433995724,3,0,1
27,8,1,4.542252302,5,0,1
27,9,1,3.02336812,2,0,1
27,10,0,1.875299215,4,1,1
27,11,1,1.635782957,3,5,1
27,12,0,1.400719643,2,1,1
27,13,1,1.469353437,5,1,1
27,14,0,1.466071367,6,2,1
27,15,1,3.414895773,1,0,1
27,16,0,2.347695351,2,4,1
27,17,1,3.143266439,5,0,1
27,18,1,2.299800158,1,0,1
27,19,1,0.862682819,3,1,1
27,20,1,2.285825253,4,0,1
27,21,1,2.466923475,2,0,1
27,22,1,1.914444685,2,0,1
27,23,1,1.731161594,1,0,1
27,24,1,4.079867363,6,1,1
27,25,1,3.79778862,2,1,1
27,26,1,3.863817453,5,0,1
27,27,1,1.525654316,1,5,1
27,28,1,2.738727331,6,0,1
27,29,1,1.958025217,3,0,1
27,30,1,1.436622143,3,0,1
27,31,1,1.327006578,3,0,1
27,32,1,4.376362562,2,1,1
27,33,1,3.489610434,3,0,1
27,34,0,0.938715696,5,1,1
27,35,1,5.122801304,6,0,1
27,36,1,2.389011383,2,0,1
27,37,1,2.430317402,1,0,1
27,38,0,1.430556536,5,1,1
27,39,1,2.677452326,5,0,1
27,40,0,1.403767347,3,1,1
27,41,1,1.014639854,3,1,1
27,42,0,1.368052721,4,1,1
27,43,0,2.149964333,1,3,1
27,44,1,5.897561073,6,1,1
27,45,1,7.044372082,4,3,1
27,46,0,3.742239475,1,6,1
27,47,0,1.330726385,5,1,1
27,48,0,1.611109495,4,0,1
27,49,0,1.456468582,4,1,1
27,50,0,1.28104949,5,6,1
27,51,1,4.1808424,3,1,1
27,52,1,2.002160311,6,1,1
27,53,1,3.342683077,6,0,1
27,54,1,3.218060017,6,0,1
27,55,0,2.959297657,1,0,1
27,56,0,1.35289979,2,0,1
27,57,1,2.779936314,4,0,1
27,58,1,1.057360649,1,2,1
27,59,1,3.412978411,1,4,1
27,60,1,3.46660471,2,1,1
27,61,1,4.416342735,2,1,1
27,62,1,8.934776306,1,3,1
27,63,0,1.480779171,4,1,1
27,64,1,2.703976393,6,0,1
27,65,1,4.339513302,3,0,1
27,66,1,2.726423502,5,0,1
27,67,1,4.455183268,4,0,1
27,68,1,5.659183025,4,1,1
27,69,1,1.200365543,3,1,1
27,70,1,3.11526823,2,0,1
27,71,0,1.179130316,4,1,1
27,72,1,3.580995798,6,1,1
27,73,1,2.523248434,6,0,1
27,74,1,3.130089283,5,0,1
27,75,1,2.298467636,4,0,1
27,76,1,3.294513464,6,2,1
27,77,0,1.407495022,2,1,1
27,78,1,1.730286598,2,0,1
27,79,0,1.071549416,2,1,1
27,80,1,1.436123371,3,0,1
27,81,1,2.079197407,3,1,1
27,82,1,3.724926472,1,4,1
27,83,0,1.63745451,2,4,1
27,84,1,3.334568977,1,0,1
27,85,1,2.306135416,1,0,1
27,86,1,2.884712458,4,3,1
27,87,1,1.079444408,4,0,1
27,88,1,2.455665827,1,2,1
27,89,1,2.59515357,3,0,1
27,90,0,1.974517345,3,1,1
